cemetery,firstworldwarcasualties,secondworldwarcasualties,totalcasualties,cemeterycountry,locality
ABERBARGOED (CAERSALEM) BAPTIST CHAPELYARD,1,1,2,United Kingdom,Monmouthshire
ABERBEEG (BRYNITHEL) CEMETERY,5,18,23,United Kingdom,Monmouthshire
ABERBEEG (CHRIST CHURCH) CHURCHYARD,5,5,10,United Kingdom,Monmouthshire
ABERCARN CEMETERY,7,13,20,United Kingdom,Monmouthshire
ABERCROMBIE CEMETERY,1,,1,Canada,Nova Scotia
ABERCROMBIE OLD CHAPELYARD,1,,1,United Kingdom,Fifeshire
ABERCYNON CEMETERY,19,10,29,United Kingdom,Glamorganshire
ABERDARE (BRYN-Y-GAER) CEMETERY,2,3,5,United Kingdom,Glamorganshire
"ABERDARE CEMETERY, GLAMORGANSHIRE",32,43,78,United Kingdom,Glamorganshire
ABERDARON (ST. HYWYN) OLD CHURCHYARD,4,,4,United Kingdom,Caernarvonshire
ABERDEEN (ALLENVALE) CEMETERY,163,110,274,United Kingdom,Aberdeenshire
ABERDEEN (EAST ST. CLEMENT) CHURCHYARD,5,1,6,United Kingdom,Aberdeenshire
ABERDEEN (GROVE) CEMETERY,24,51,76,United Kingdom,Aberdeenshire
ABERDEEN (JOHN KNOX'S) CHURCHYARD,3,1,4,United Kingdom,Aberdeenshire
ABERDEEN (NELLFIELD) CEMETERY,38,7,45,United Kingdom,Aberdeenshire
ABERDEEN (SPRINGBANK) CEMETERY,36,59,96,United Kingdom,Aberdeenshire
ABERDEEN (ST. NICHOLAS) CHURCHYARD,1,,1,United Kingdom,Aberdeenshire
ABERDEEN (ST. PETER'S) CEMETERY,49,13,62,United Kingdom,Aberdeenshire
ABERDEEN (TRINITY) CEMETERY,170,29,199,United Kingdom,Aberdeenshire
ABERDOUR (ST. FILLAN) OLD CHURCHYARD,1,,1,United Kingdom,Fifeshire
ABERDUAR WELSH BAPTIST CHAPELYARD,1,,1,United Kingdom,Carmarthenshire
ABERDYFI CEMETERY,8,3,11,United Kingdom,Merionethshire
ABEREDW (ST. CEWYDD) CHURCHYARD,2,,2,United Kingdom,Radnorshire
ABERERCH (ST. CAWRDAF) CHURCHYARD,3,8,11,United Kingdom,Caernarvonshire
ABERFAN BRYNTAF CEMETERY,7,10,17,United Kingdom,Glamorganshire
ABERFAN CEMETERY,7,4,11,United Kingdom,Glamorganshire
ABERFELDY CEMETERY,2,1,3,United Kingdom,Perthshire
ABERFFRAW (ST. BEUNO) CHURCHYARD,3,,3,United Kingdom,Anglesey
ABERFORD (ST. RICARIUS) CHURCHYARD AND EXTENSION,3,2,5,United Kingdom,Yorkshire
ABERGAVENNY NEW CEMETERY,12,16,29,United Kingdom,Monmouthshire
ABERGAVENNY OLD CEMETERY,4,,4,United Kingdom,Monmouthshire
ABERGELE CALVINISTIC METHODIST CHAPELYARD,1,1,2,United Kingdom,Denbighshire
ABERGELE CEMETERY,5,3,8,United Kingdom,Denbighshire
ABERGWILI (ST. DAVID) CHURCHYARD,1,,1,United Kingdom,Carmarthenshire
ABERGYNOLWYN FEDW CEMETERY,3,,3,United Kingdom,Merionethshire
ABERHAFESP (ST. GWYNOG) CHURCHYARD,1,1,2,United Kingdom,Montgomeryshire
ABERHOSAN NONCONFORMIST CEMETERY,1,,1,United Kingdom,Montgomeryshire
ABERKENFIG (ST. JOHN) CHURCHYARD,5,2,7,United Kingdom,Glamorganshire
ABERLADY PARISH CHURCHYARD,2,3,5,United Kingdom,East Lothian
ABERLOUR BURIAL GROUND,2,3,6,United Kingdom,Banffshire
"ABERNETHY PARISH CHURCHYARD, INVERNESS-SHIRE",7,4,11,United Kingdom,Inverness-shire
"ABERNETHY PARISH CHURCHYARD, PERTHSHIRE",6,,6,United Kingdom,Perthshire
ABERPERGWM (ST. CADOC) CHURCHYARD AND PRIVATE EXTENSION,1,1,2,United Kingdom,Glamorganshire
ABERYSTWYTH CEMETERY,10,25,35,United Kingdom,Cardiganshire
ABINGDON (OUR LADY AND ST. EDMUND) ROMAN CATHOLIC CHURCHYARD,1,2,3,United Kingdom,Berkshire
ABINGDON CEMETERY,15,17,32,United Kingdom,Berkshire
ABINGER (ST. JAMES) CHURCHYARD,1,2,3,United Kingdom,Surrey
ABINGTON (SS. PETER AND PAUL) CHURCHYARD,3,11,14,United Kingdom,Northamptonshire
ABLAINZEVELLE COMMUNAL CEMETERY,1,,1,France,Pas de Calais
ABNEY PARK CEMETERY,261,113,374,United Kingdom,London
ABOYNE PARISH CHURCHYARD,1,1,2,United Kingdom,Aberdeenshire
ABRAM (ST. JOHN) CHURCHYARD,8,5,13,United Kingdom,Lancashire
ABSCON COMMUNAL CEMETERY,1,,1,France,Nord
ABTHORPE (ST. JOHN THE BAPTIST) CHURCH CEMETERY,1,1,2,United Kingdom,Northamptonshire
ABUJA MEMORIAL,944,1158,2102,Nigeria,
ABUNEREK MILITARY GRAVE,1,,1,Nigeria,
ACASTER SELBY (ST. JOHN) CHURCHYARD,2,,2,United Kingdom,Yorkshire
ACCRINGTON CEMETERY,55,42,97,United Kingdom,Lancashire
ACHEUX BRITISH CEMETERY,180,,180,France,Somme
"ACHICOURT ROAD CEMETERY, ACHICOURT",131,,131,France,Pas de Calais
ACHIET-LE-GRAND COMMUNAL CEMETERY,4,,4,France,Pas de Calais
ACHIET-LE-GRAND COMMUNAL CEMETERY EXTENSION,1466,,1466,France,Pas de Calais
ACHNABRECK CEMETERY,4,10,14,United Kingdom,Argyllshire
ACKWORTH (ALL SAINTS) CHURCHYARD,2,1,3,United Kingdom,Yorkshire
ACKWORTH (ST. CUTHBERT) CHURCHYARD,3,,3,United Kingdom,Yorkshire
ACLE (ST. EDMUND) CHURCHYARD,2,1,3,United Kingdom,Norfolk
ACOCK'S GREEN (ST. MARY) CHURCHYARD,2,3,5,United Kingdom,Warwickshire
ACOMB (ST. STEPHEN) CHURCHYARD,12,11,23,United Kingdom,Yorkshire
ACONBURY (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Herefordshire
ACQUI NEW COMMUNAL CEMETERY,1,,1,Italy,
ACTON (FAIRVIEW) CEMETERY,1,,1,Canada,Ontario
ACTON (ST. MARY) CHURCH CEMETERY,1,2,3,United Kingdom,Middlesex
ACTON (ST. MARY) CHURCHYARD,2,3,5,United Kingdom,Cheshire
ACTON BURNELL (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Shropshire
ACTON CEMETERY,81,61,142,United Kingdom,Middlesex
ACTON CHURCH OF IRELAND CHURCHYARD,1,,1,United Kingdom,County Armagh
ACTON TRUSSELL (ST. JAMES THE GREAT) CHURCHYARD,1,1,2,United Kingdom,Staffordshire
ACTON TURVILLE (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Gloucestershire
ACTONVALE (ST. ANDRE) CEMETERY,1,,1,Canada,Quebec
ADAMINABY GENERAL CEMETERY,1,,1,Australia,New South Wales
ADANAC CEMETERY,2,,2,Canada,Saskatchewan
"ADANAC MILITARY CEMETERY, MIRAUMONT",3187,,3187,France,Somme
ADDERBURY (ST. MARY) CHURCHYARD,4,,4,United Kingdom,Oxfordshire
ADDINGHAM (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Cumberland
ADDINGHAM (ST. PETER) CHURCHYARD,6,1,7,United Kingdom,Yorkshire
"ADDINGTON (ST. MARY) CHURCHYARD, BUCKINGHAMSHIRE",1,,1,United Kingdom,Buckinghamshire
"ADDINGTON (ST. MARY) CHURCHYARD, SURREY",4,9,13,United Kingdom,Surrey
ADDLESTONE BURIAL GROUND,11,13,24,United Kingdom,Surrey
ADDOLORATA CEMETERY,295,18,314,Malta,
ADEGEM CANADIAN WAR CEMETERY,1,1157,1158,Belgium,Oost-Vlaanderen
ADEL (ST. JOHN THE BAPTIST) CHURCHYARD,2,4,6,United Kingdom,Yorkshire
ADEL FRIENDS BURIAL GROUND,1,1,2,United Kingdom,Yorkshire
ADELAIDE (WEST TERRACE) CEMETERY,197,78,275,Australia,South Australia
"ADELAIDE CEMETERY, VILLERS-BRETONNEUX",960,,960,France,Somme
ADFA CALVINISTIC METHODIST CHAPELYARD,1,1,2,United Kingdom,Montgomeryshire
ADINKERKE CHURCHYARD EXTENSION,67,,67,Belgium,West-Vlaanderen
ADINKERKE MILITARY CEMETERY,270,95,365,Belgium,West-Vlaanderen
ADISHAM (HOLY INNOCENTS) CHURCHYARD,2,,2,United Kingdom,Kent
ADLESTROP (ST. MARY MAGDALENE) CHURCHYARD,1,,1,United Kingdom,Gloucestershire
ADLINGFLEET (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ADLINGTON CEMETERY,4,5,9,United Kingdom,Lancashire
ADMASTON CEMETERY,1,,1,Canada,Ontario
ADSTOCK (ST. CECILIA) CHURCHYARD,2,,2,United Kingdom,Buckinghamshire
ADVENT (ST. ADWENA) CHURCHYARD,2,,2,United Kingdom,Cornwall
ADVOCATE HARBOUR CEMETERY,4,1,5,Canada,Nova Scotia
ADWICK-LE-STREET (ST. LAWRENCE) CHURCHYARD,3,1,4,United Kingdom,Yorkshire
ADWICK-LE-STREET CEMETERY,10,23,33,United Kingdom,Yorkshire
AEROPLANE CEMETERY,1106,,1106,Belgium,West-Vlaanderen
AFFANE OLD CHURCH OF IRELAND CHURCHYARD,2,,2,"Ireland, Republic of",County Waterford
AFFPUDDLE (ST. LAURENCE) CHURCHYARD,4,,4,United Kingdom,Dorset
AGENVILLE CHURCHYARD,1,,1,France,Somme
AGENVILLERS CHURCHYARD,1,,1,France,Somme
AGHADOWEY (ST. GUAIRES) CHURCH OF IRELAND CHURCHYARD,3,,3,United Kingdom,County Londonderry
AGHALEE CEMETERY,1,,1,United Kingdom,County Antrim
AGHARRA GRAVEYARD,1,,1,"Ireland, Republic of",County Longford
AGHERTON CEMETERY,1,,1,United Kingdom,County Londonderry
AGINCOURT (KNOX UNITED CHURCH) CEMETERY,3,,3,Canada,Ontario
AGLISH (OR AGLISHCLOHANE) CHURCH OF IRELAND CHURCHYARD,1,,1,"Ireland, Republic of",County Tipperary
AGNY MILITARY CEMETERY,413,,413,France,Pas de Calais
AGRA (HAVELOCK) CEMETERY,1,,1,India,
AGRA CANTONMENT CEMETERY,62,,62,India,
AHIPARA MAORI CEMETERY,1,,1,New Zealand,Far North District
AHMADABAD CANTONMENT CEMETERY,6,,6,India,
AHMEDNAGAR GOVERNMENT CEMETERY,49,,49,India,
AHOGHILL (TRINITY) PRESBYTERIAN CHURCHYARD,2,1,3,United Kingdom,County Antrim
AHOGHILL FIRST PRESBYTERIAN CHURCHYARD,1,,1,United Kingdom,County Antrim
AIETA COMMUNAL CEMETERY,1,,1,Italy,
AIGNY CHURCHYARD,1,,1,France,Marne
AILLY-SUR-NOYE CHURCHYARD,2,,2,France,Somme
AILLY-SUR-SOMME COMMUNAL CEMETERY,3,7,10,France,Somme
AINSTABLE (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Cumberland
AINSWORTH (CHRIST CHURCH) CHURCHYARD,2,2,4,United Kingdom,Lancashire
AINSWORTH UNITARIAN CHAPELYARD,1,,1,United Kingdom,Lancashire
AIRDRIE (ST. JOSEPH'S) ROMAN CATHOLIC CEMETERY,25,21,46,United Kingdom,Lanarkshire
AIRE COMMUNAL CEMETERY,904,21,925,France,Pas de Calais
AIRTH PARISH CHURCHYARD,2,,2,United Kingdom,Stirlingshire
AISLABY (ST. MARGARET) CHURCHYARD,1,1,2,United Kingdom,Yorkshire
AITH NEW CEMETERY,1,,1,United Kingdom,Shetland
AITH OLD CEMETERY,3,,3,United Kingdom,Shetland
AIX-EN-ISSART CHURCHYARD,1,,1,France,Pas de Calais
AIX-NOULETTE COMMUNAL CEMETERY,5,,5,France,Pas de Calais
AIX-NOULETTE COMMUNAL CEMETERY EXTENSION,1252,,1252,France,Pas de Calais
AIZECOURT-LE-BAS CHURCHYARD,3,,3,France,Somme
AJMER NEW CEMETERY,4,,4,India,
AKAROA ANGLICAN CEMETERY,1,,1,New Zealand,Banks Peninsula District
AKELEY (ST. JAMES) CHURCHYARD,1,,1,United Kingdom,Buckinghamshire
AKRON (GLENDALE) CEMETERY,1,,1,United States of America,Ohio
ALBANY (GRACELAND) CEMETERY,1,,1,United States of America,New York
ALBANY (ST. AGNES) CEMETERY,1,,1,United States of America,New York
ALBANY PUBLIC CEMETERY,1,,2,New Zealand,North Shore City
ALBANY PUBLIC CEMETERY (OLD),17,5,23,Australia,Western Australia
ALBANY QUARANTINE CEMETERY,1,,1,Australia,Western Australia
ALBERBURY (ST. MICHAEL AND ALL ANGELS) CHURCHYARD EXTENSION,2,,2,United Kingdom,Shropshire
ALBERT COMMUNAL CEMETERY EXTENSION,863,25,889,France,Somme
ALBERT FRENCH NATIONAL CEMETERY,1,,1,France,Somme
ALBERTON (SACRED HEART) ROMAN CATHOLIC CEMETERY,1,1,2,Canada,Prince Edward Island
ALBERTON HILLCREST CEMETERY,1,,1,Canada,Prince Edward Island
ALBERTVILLE CEMETERY,1,,1,Canada,Saskatchewan
ALBRIGHTON (ST. JOHN THE BAPTIST) CHURCHYARD,2,,2,United Kingdom,Shropshire
ALBRIGHTON (ST. MARY MAGDALENE) CHURCHYARD,2,2,4,United Kingdom,Shropshire
"ALBUERA CEMETERY, BAILLEUL-SIRE-BERTHOULT",254,,254,France,Pas de Calais
ALBUQUERQUE (MT. CALVARY) CEMETERY,1,,1,United States of America,New Mexico
ALBURY (SS. PETER AND PAUL) CHURCHYARD,1,1,2,United Kingdom,Surrey
ALBURY (ST. HELEN) CHURCHYARD,2,,2,United Kingdom,Oxfordshire
ALBURY (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Hertfordshire
ALBURY CEMETERY,1,,1,Canada,Ontario
ALBURY GENERAL CEMETERY,4,20,24,Australia,New South Wales
ALCESTER BURIAL GROUND,2,3,5,United Kingdom,Warwickshire
ALCISTON CHURCHYARD,1,,1,United Kingdom,Sussex
ALCONBURY (SS. PETER AND PAUL) CHURCHYARD,1,,1,United Kingdom,Huntingdonshire
ALDBOROUGH (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Norfolk
ALDBOROUGH HATCH (ST. PETER) CHURCHYARD,3,8,11,United Kingdom,Essex
ALDBOURNE (ST. MICHAEL) CHURCHYARD,2,1,3,United Kingdom,Wiltshire
ALDBURY (ST. JOHN THE BAPTIST) CHURCHYARD,1,1,2,United Kingdom,Hertfordshire
ALDEBURGH (SS. PETER AND PAUL) CHURCHYARD,20,6,26,United Kingdom,Suffolk
ALDEBY (ST. MARY) CHURCHYARD,2,2,4,United Kingdom,Norfolk
ALDENHAM (ST. JOHN THE BAPTIST) CHURCHYARD,1,2,3,United Kingdom,Hertfordshire
ALDERBURY (ST. MARY) CHURCHYARD,2,2,4,United Kingdom,Wiltshire
ALDERCAR (ST. JOHN) CHURCHYARD AND EXTENSION,1,2,3,United Kingdom,Derbyshire
ALDERHOLT (ST. JAMES THE GREAT) CHURCHYARD,2,1,3,United Kingdom,Dorset
ALDERHOLT CONGREGATIONAL CHAPELYARD,1,1,2,United Kingdom,Dorset
ALDERLEY EDGE CEMETERY,9,6,15,United Kingdom,Cheshire
ALDERMASTON (ST. MARY) CHURCHYARD,1,1,2,United Kingdom,Berkshire
ALDERNEY (ST. ANNE) CHURCHYARD,6,1,7,United Kingdom,Channel Islands
ALDERNEY ROMAN CATHOLIC CEMETERY,1,,1,United Kingdom,Channel Islands
ALDERSHOT CIVIL CEMETERY,23,34,57,United Kingdom,Hampshire
ALDERSHOT JEWISH CEMETERY,2,1,3,United Kingdom,Hampshire
ALDERSHOT MILITARY CEMETERY,698,139,857,United Kingdom,Hampshire
ALDERTON (ST. ANDREW) CHURCHYARD,1,1,2,United Kingdom,Suffolk
ALDERVILLE CEMETERY,2,,2,Canada,Ontario
ALDFORD (ST. JOHN THE BAPTIST) CHURCHYARD,1,,1,United Kingdom,Cheshire
ALDHAM (SS. MARGARET AND CATHERINE) CHURCHYARD,2,,2,United Kingdom,Essex
ALDHAM (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Suffolk
ALDINGA (ST. ANN'S) CEMETERY,1,,1,Australia,South Australia
ALDINGBOURNE (ST. MARY) CHURCHYARD,2,2,4,United Kingdom,Sussex
ALDINGHAM (ST. CUTHBERT) CHURCHYARD,1,1,2,United Kingdom,Lancashire
ALDRIDGE (ST. MARY) CHURCHYARD EXTENSION,3,4,7,United Kingdom,Staffordshire
ALDRINGHAM (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Suffolk
ALDRINGTON (ST. LEONARD) CHURCHYARD,1,,1,United Kingdom,Sussex
ALDWARK (ST. STEPHEN) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ALDWINCLE (ALL SAINTS) CHURCHYARD,1,,1,United Kingdom,Northamptonshire
ALENCON (ST. LEONARD) CEMETERY,17,,17,France,Orne
ALEPPO WAR CEMETERY,109,127,236,Syria,
ALEXANDER CEMETERY,1,,1,Canada,Manitoba
"ALEXANDRA CEMETERY, VICTORIA",1,,1,Australia,Victoria
ALEXANDRA SOUTH CEMETERY,1,,1,New Zealand,Central Otago District
ALEXANDRIA (CHATBY) BRITISH PROTESTANT CEMETERY,4,7,11,Egypt,
ALEXANDRIA (CHATBY) JEWISH CEMETERY NO.3,20,2,22,Egypt,
ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,2270,518,2865,Egypt,
ALEXANDRIA (HADRA) WAR MEMORIAL CEMETERY,1705,1343,3066,Egypt,
ALEXANDRIA (SACRED HEART) CEMETERY,1,1,2,Canada,Ontario
ALEXANDRIA (ST. FINNAN'S) CEMETERY,3,1,4,Canada,Ontario
ALEXANDRIA UNITED CHURCH CEMETERY,1,,1,Canada,Ontario
ALFOLD (ST. NICHOLAS) CHURCHYARD,3,,3,United Kingdom,Surrey
"ALFORD CEMETERY, ABERDEENSHIRE",2,2,4,United Kingdom,Aberdeenshire
"ALFORD CEMETERY, LINCOLNSHIRE",6,13,19,United Kingdom,Lincolnshire
ALFORD OLD CHURCHYARD,1,,1,United Kingdom,Aberdeenshire
ALFRED ST. VICTOR CEMETERY,1,,1,Canada,Ontario
ALFRETON (LEA BROOKS) CEMETERY,5,6,11,United Kingdom,Derbyshire
ALFRETON (ST. MARTIN) CHURCHYARD,1,,1,United Kingdom,Derbyshire
ALFRETON CEMETERY,4,5,9,United Kingdom,Derbyshire
ALFRISTON (ST. ANDREW) CHURCHYARD,2,1,3,United Kingdom,Sussex
ALGIERS (BOULEVARD BRU) EUROPEAN CEMETERY,3,,3,Algeria,
ALIBAG CEMETERY,1,,1,India,
ALICE CEMETERY,1,1,2,South Africa,Eastern Cape
ALKERTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Oxfordshire
ALKHAM (ST. ANTHONY) CHURCHYARD,1,1,2,United Kingdom,Kent
ALL HALLOWS (ALL SAINTS) NEW CHURCHYARD,1,1,2,United Kingdom,Kent
ALLAHABAD NEW CANTONMENT CEMETERY,38,,38,India,
"ALLENDALE (ST. PETER IN THE FOREST) CHURCHYARD, SPARTYLEA",1,,1,United Kingdom,Northumberland
ALLENSMORE (ST. ANDREW) CHURCHYARD,1,,1,United Kingdom,Herefordshire
ALLERTHORPE (ST. BOTOLPH) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ALLERTON (PROSPECT) METHODIST CHAPELYARD,7,4,11,United Kingdom,Yorkshire
ALLERTON BYWATER (ST. MARY) CHURCHYARD,5,4,9,United Kingdom,Yorkshire
ALLERY COMMUNAL CEMETERY,2,1,3,France,Somme
ALLESTREE (ST. EDMUND) CHURCHYARD,1,4,5,United Kingdom,Derbyshire
ALLISTON UNION CEMETERY,2,4,6,Canada,Ontario
ALLOA (GREENSIDE) CEMETERY,2,,2,United Kingdom,Clackmannanshire
ALLOA (SUNNYSIDE) CEMETERY,12,20,32,United Kingdom,Clackmannanshire
ALLONBY (CHRIST CHURCH) CHURCHYARD,1,1,2,United Kingdom,Cumberland
ALLONVILLE COMMUNAL CEMETERY,78,1,79,France,Somme
ALLOUAGNE COMMUNAL CEMETERY,1,3,4,France,Pas de Calais
ALLTWEN WELSH CONGREGATIONAL CHAPELYARD,4,4,8,United Kingdom,Glamorganshire
ALMELEY (ST. MARY) CHURCHYARD,3,2,5,United Kingdom,Herefordshire
ALMONDSBURY (ST. MARY) CHURCHYARD,6,,6,United Kingdom,Gloucestershire
ALMONTE (AULD KIRK) CEMETERY,1,4,5,Canada,Ontario
ALNE (ST. MARY) CHURCHYARD,1,,1,United Kingdom,Yorkshire
ALNESS PARISH CHURCHYARD,2,1,4,United Kingdom,Ross and Cromarty
ALNWICK CEMETERY,19,17,36,United Kingdom,Northumberland
ALPERTON CEMETERY,1,76,110,United Kingdom,Middlesex
ALPHINGTON (ST. MICHAEL) CHURCHYARD EXTENSION,3,1,4,United Kingdom,Devon
ALPHINGTON CHURCH CEMETERY,5,2,7,United Kingdom,Devon
ALRESFORD (ST. PETER) CHURCHYARD,2,,2,United Kingdom,Essex
ALSAGER (CHRIST CHURCH) CHURCHYARD,6,2,8,United Kingdom,Cheshire
ALSAGER BANK (ST. JOHN) CHURCHYARD,2,1,3,United Kingdom,Staffordshire
ALSASK CEMETERY,1,,1,Canada,Saskatchewan
ALSTON CEMETERY,1,1,2,United Kingdom,Cumberland
ALTHAM (ST. JAMES) CHURCHYARD,3,1,4,United Kingdom,Lancashire
ALTHORPE (ST. OSWALD) CHURCHYARD,1,2,3,United Kingdom,Lincolnshire
ALTIVOLE COMMUNAL CEMETERY,6,,6,Italy,
"ALTO MESA CEMETERY, PALO ALTO",1,,1,United States of America,California
ALTON (ST. JOHN) ROMAN CATHOLIC CHURCHYARD,1,1,2,United Kingdom,Staffordshire
ALTON (ST. PETER) CHURCHYARD EXTENSION,3,1,4,United Kingdom,Staffordshire
ALTON CEMETERY,7,14,21,United Kingdom,Hampshire
ALVA CEMETERY,10,10,20,United Kingdom,Clackmannanshire
ALVA OLD PARISH CHURCHYARD,2,,2,United Kingdom,Clackmannanshire
ALVAH PARISH CHURCHYARD,2,1,3,United Kingdom,Banffshire
ALVANLEY (ST. JOHN) CHURCHYARD,2,,2,United Kingdom,Cheshire
ALVASTON (ST. MICHAEL) CHURCHYARD,3,3,6,United Kingdom,Derbyshire
ALVECHURCH (ST. LAURENCE) CHURCHYARD,3,4,7,United Kingdom,Worcestershire
ALVELEY (ST. MARY) CHURCHYARD,3,,3,United Kingdom,Shropshire
ALVERSTOKE (ST. MARK) CHURCHYARD,1,,1,United Kingdom,Hampshire
ALVERTHORPE (ST. PAUL) CHURCHYARD,7,12,19,United Kingdom,Yorkshire
ALVES PARISH CHURCHYARD,2,,2,United Kingdom,Moray
ALVIE PARISH CHURCHYARD,5,,5,United Kingdom,Inverness-shire
ALVINGTON (ST. ANDREW) CHURCHYARD,3,,3,United Kingdom,Gloucestershire
ALVINSTON PUBLIC CEMETERY,5,,5,Canada,Ontario
ALWALTON CEMETERY,1,,1,United Kingdom,Huntingdonshire
ALWINGTON (ST. ANDREW) CHURCHYARD,4,,4,United Kingdom,Devon
ALWINTON (ST. MICHAEL) CHURCHYARD,1,,1,United Kingdom,Northumberland
ALWIYA INDIAN WAR CEMETERY,2,,2,Iraq,
ALYTH CEMETERY,5,6,11,United Kingdom,Perthshire
AMARA (LEFT BANK) INDIAN WAR CEMETERY,5000,,5000,Iraq,
AMARA WAR CEMETERY,4626,,4633,Iraq,
AMBALA CANTONMENT CEMETERY,66,,66,India,
AMBERLEY CHURCH CEMETERY,2,1,4,United Kingdom,Gloucestershire
AMBLE WEST CEMETERY,9,13,22,United Kingdom,Northumberland
AMBLECOTE (HOLY TRINITY) CHURCHYARD,7,2,9,United Kingdom,Staffordshire
AMBLER THORN UNITED METHODIST BURIAL GROUND,1,,1,United Kingdom,Yorkshire
AMBLESIDE (ST. MARY) CHURCHYARD,4,7,11,United Kingdom,Westmorland
AMBROSDEN (ST. MARY) CHURCHYARD,1,2,3,United Kingdom,Oxfordshire
AMELIASBURG (SALEM) CEMETERY,1,,1,Canada,Ontario
"AMERICAN MILITARY CEMETERY, FORT BONIFACIO, MANILA",1,,1,Philippines,
AMERSFOORT GENERAL CEMETERY,7,,7,Netherlands,Utrecht
AMERSFOORT ROMAN CATHOLIC CEMETERY,1,,1,Netherlands,Utrecht
AMERSHAM (THE PLATT) CEMETERY,2,2,4,United Kingdom,Buckinghamshire
AMERSHAM CONSECRATED CEMETERY,6,15,21,United Kingdom,Buckinghamshire
